title,descr,asg_lvl,union_descr,min_rate,max_rate,group,level,midpoint,pct75,mid_overall,pct_75_overall
30085,*ATTORNEY AT LAW,02,ATTORNEYSCSBA 237 IBT,95450,124381,counsel,junior,109915.5,117148.25,108185.75,115304.625
30085,*ATTORNEY AT LAW,03,ATTORNEYSCSBA 237 IBT,106404,136593,counsel,senior,121498.5,129045.75,119586.25,127014.625
30085,*ATTORNEY AT LAW,04,ATTORNEYSCSBA 237 IBT,111133,146052,counsel,senior,128592.5,137322.25,126568.75,135161.125
30087,AGENCY ATTORNEY,02,ATTORNEYSCSBA 237 IBT,95450,124381,counsel,junior,109915.5,117148.25,108185.75,115304.625
30087,AGENCY ATTORNEY,03,ATTORNEYSCSBA 237 IBT,106404,136593,counsel,senior,121498.5,129045.75,119586.25,127014.625
30087,AGENCY ATTORNEY,04,ATTORNEYSCSBA 237 IBT,111133,146052,counsel,senior,128592.5,137322.25,126568.75,135161.125
3008B,AGENCY ATTORNEY DC37,02,CLERICAL TITLES DC37,80473,105880,counsel,junior,93176.5,99528.25,108185.75,115304.625
3008B,AGENCY ATTORNEY DC37,03,CLERICAL TITLES DC37,90093,116601,counsel,senior,103347,109974,119586.25,127014.625
3008B,AGENCY ATTORNEY DC37,04,CLERICAL TITLES DC37,94246,124905,counsel,senior,109575.5,117240.25,126568.75,135161.125
3008G,*AGENCY ATTORNEY,02,ATTORNEYSCSBA 237 IBT,92446,120466,counsel,junior,106456,113461,108185.75,115304.625
3008G,*AGENCY ATTORNEY,03,ATTORNEYSCSBA 237 IBT,103055,132293,counsel,senior,117674,124983.5,119586.25,127014.625
3008G,*AGENCY ATTORNEY,04,ATTORNEYSCSBA 237 IBT,107635,141455,counsel,senior,124545,133000,126568.75,135161.125
