job_id,agency,business_title,civil_service_title,level,career_level,title_code_no,job_category,division_work_unit,minimum_qual_requirements,job_description,salary_range_from,salary_range_to,min_qual_clean,descr_clean,job_summary
696033,DEPT OF YOUTH & COMM DEV SRVS,Senior .Net Developer,COMPUTER SPECIALIST (SOFTWARE),03,Experienced (non-manager),13632,"Technology, Data & Innovation",IT - Application Development,"(1) A baccalaureate degree from an accredited college, including or supplemented by twenty-four (24) semester credits in computer science or a related computer field and two (2) years of satisfactory full-time software experience in designing, programming, debugging, maintaining, implementing, and enhancing computer software applications, systems programming, systems analysis and design, data communication software, or database design and programming, including one year in a project leader capacity or as a major contributor on a complex project; or  (2) A four-year high school diploma or its educational equivalent and six (6) years of full-time satisfactory software experience as described in â1 above, including one year in a project leader capacity or as a major contributor on a complex project; or  (3) A satisfactory combination of education and experience that is equivalent to (1) or (2) above. College education may be substituted for up to two years of the required experience in (2) above on the basis that sixty (60) semester credits from an accredited college is equated to one year of experience. A masters degree in computer science or a related computer field may be substituted for one year of the required experience in (1) or (2) above. However, all candidates must have a four year high school diploma or its educational equivalent, plus at least one (1) year of satisfactory full-time software experience in a project leader capacity or as a major contributor on a complex project.  NOTE: In order to have your experience accepted as Project Leader or Major Contributor experience, you must explain in detail how your experience qualifies you as a project leader or as a major contributor. Experience in computer operations, technical support, quality assurance (QA), hardware installation, help desk, or as an end user will not be accepted for meeting the minimum qualification  requirements.  Special Note  To be eligible for placement in Assignment Level IV, in addition to the Qualification Requirements stated above, individuals must have one year of satisfactory experience in a project leader capacity or as a major contributor on a complex project in data administration, database management systems, operating systems, data communications systems, capacity planning, and/or on-line applications programming.","The New York City Department of Youth and Community Development (DYCD) invests in a network of community-based organizations and programs to alleviate the effects of poverty and to provide opportunities for New Yorkers and communities to flourish.  The New York City Department of Youth and Community Development (DYCD) provide youth and community services through contracts with Community-Based Organizations throughout New York City. DYCDâs central task is administering available city, state, and federal funds to a wide range of innovative, practical and quality programs that positively impact youth and their communities.  The .Net Developer (Financial Systems) role is to assure the successful execution of the projects under the leadership of the Deputy Director of the Contracts / Financials Portfolio through development and deployment of the agencyâs Budget, Contract, and Payment Systems.   The .Net developer will also support the Deputy Director in the modernization of the agencyâs financial management systems, including improvement of underlying businesses processes, opportunities for innovation, and assessment of obstacles and technical hurdles to the success with relation to the agencyâs budget, contract, and payment processes. The .NET Developer is responsible for analyzing user specifications and requirements that reflect business program needs, and subsequently delivering high-quality software solutions that meet business program needs. The incumbent must design, develop, test, maintain and modify software programs according to specifications, verifying logic, and provide guidance to other developers, performing necessary debugging, code reviews and writing related documentation. By aligning skills with overall technology strategies, the incumbent is also called upon to develop interfaces and integrate systems.  Responsibilities:  â¢ Direct development and execution of the modernization of the agencyâs financial management system and its integration with other systems including Case Management, BI/Reporting and Analytics, Evaluation and Monitoring, Document Management, etc.  â¢ Maintain up-to-date knowledge of technology standards, industry trends, emerging technologies, and software development best practices by attending relevant conferences and reading widely.  â¢ Ability to work independently and manage multiple complex projects, with strong problem-solving skills. â¢ Strong database design and development skills.  â¢ Establish a master program site unique index for the agencyâs service delivery locations.  â¢ Critically reviews programs prior to implementation to verify consistency and conformance with established IT guidelines, policies, and practices as well as industry standard guidelines.   â¢ Define and communicate standards for developing systems, or software within the financial systems group. â¢ Ensure that technology standards and best practices are maintained within the group.  â¢ Ensure the agencyâs internal technological processes and customer-facing applications comply with community expectations and applicable laws and regulations for privacy, security, and social responsibility.",103765,134622,"(1) A baccalaureate degree from an accredited college, including or supplemented by twenty-four (24) semester credits in computer science or a related computer field and two (2) years of satisfactory full-time software experience in designing, programming, debugging, maintaining, implementing, and enhancing computer software applications, systems programming, systems analysis and design, data communication software, or database design and programming, including one year in a project leader capacity or as a major contributor on a complex project; or (2) A four-year high school diploma or its educational equivalent and six (6) years of full-time satisfactory software experience as described in 1 above, including one year in a project leader capacity or as a major contributor on a complex project; or (3) A satisfactory combination of education and experience that is equivalent to (1) or (2) above. College education may be substituted for up to two years of the required experience in (2) above on the basis that sixty (60) semester credits from an accredited college is equated to one year of experience. A masters degree in computer science or a related computer field may be substituted for one year of the required experience in (1) or (2) above. However, all candidates must have a four year high school diploma or its educational equivalent, plus at least one (1) year of satisfactory full-time software experience in a project leader capacity or as a major contributor on a complex project. NOTE: In order to have your experience accepted as Project Leader or Major Contributor experience, you must explain in detail how your experience qualifies you as a project leader or as a major contributor. Experience in computer operations, technical support, quality assurance (QA), hardware installation, help desk, or as an end user will not be accepted for meeting the minimum qualification requirements. Special Note To be eligible for placement in Assignment Level IV, in addition to the Qualification Requirements stated above, individuals must have one year of satisfactory experience in a project leader capacity or as a major contributor on a complex project in data administration, database management systems, operating systems, data communications systems, capacity planning, and/or on-line applications programming.","The New York City Department of Youth and Community Development (DYCD) invests in a network of community-based organizations and programs to alleviate the effects of poverty and to provide opportunities for New Yorkers and communities to flourish. The New York City Department of Youth and Community Development (DYCD) provide youth and community services through contracts with Community-Based Organizations throughout New York City. DYCDs central task is administering available city, state, and federal funds to a wide range of innovative, practical and quality programs that positively impact youth and their communities. The .Net Developer (Financial Systems) role is to assure the successful execution of the projects under the leadership of the Deputy Director of the Contracts / Financials Portfolio through development and deployment of the agencys Budget, Contract, and Payment Systems. The .Net developer will also support the Deputy Director in the modernization of the agencys financial management systems, including improvement of underlying businesses processes, opportunities for innovation, and assessment of obstacles and technical hurdles to the success with relation to the agencys budget, contract, and payment processes. The .NET Developer is responsible for analyzing user specifications and requirements that reflect business program needs, and subsequently delivering high-quality software solutions that meet business program needs. The incumbent must design, develop, test, maintain and modify software programs according to specifications, verifying logic, and provide guidance to other developers, performing necessary debugging, code reviews and writing related documentation. By aligning skills with overall technology strategies, the incumbent is also called upon to develop interfaces and integrate systems. Responsibilities: Direct development and execution of the modernization of the agencys financial management system and its integration with other systems including Case Management, BI/Reporting and Analytics, Evaluation and Monitoring, Document Management, etc. Maintain up-to-date knowledge of technology standards, industry trends, emerging technologies, and software development best practices by attending relevant conferences and reading widely. Ability to work independently and manage multiple complex projects, with strong problem-solving skills. Strong database design and development skills. Establish a master program site unique index for the agencys service delivery locations. Critically reviews programs prior to implementation to verify consistency and conformance with established IT guidelines, policies, and practices as well as industry standard guidelines. Define and communicate standards for developing systems, or software within the financial systems group. Ensure that technology standards and best practices are maintained within the group. Ensure the agencys internal technological processes and customer-facing applications comply with community expectations and applicable laws and regulations for privacy, security, and social responsibility.","The Senior .Net Developer role at the New York City Department of Youth and Community Development (DYCD) focuses on the development and modernization of the agency's financial management systems, ensuring integration with various other systems. Key responsibilities include analyzing user specifications, delivering high-quality software solutions, and maintaining compliance with established IT guidelines and industry standards. Minimum qualifications require a bachelor's degree with 24 credits in computer science or a related field, along with two years of relevant software experience, including one year in a project leader capacity or as a major contributor on complex projects. Alternatively, candidates may qualify with a high school diploma and six years of relevant experience, including project leadership."
709263,DEPARTMENT OF CORRECTION,Application Support Specialist,COMPUTER SPECIALIST (SOFTWARE),02,Experienced (non-manager),13632,"Technology, Data & Innovation",Information Systems-Admin,"(1) A baccalaureate degree from an accredited college, including or supplemented by twenty-four (24) semester credits in computer science or a related computer field and two (2) years of satisfactory full-time software experience in designing, programming, debugging, maintaining, implementing, and enhancing computer software applications, systems programming, systems analysis and design, data communication software, or database design and programming, including one year in a project leader capacity or as a major contributor on a complex project; or  (2) A four-year high school diploma or its educational equivalent and six (6) years of full-time satisfactory software experience as described in â1 above, including one year in a project leader capacity or as a major contributor on a complex project; or  (3) A satisfactory combination of education and experience that is equivalent to (1) or (2) above. College education may be substituted for up to two years of the required experience in (2) above on the basis that sixty (60) semester credits from an accredited college is equated to one year of experience. A masters degree in computer science or a related computer field may be substituted for one year of the required experience in (1) or (2) above. However, all candidates must have a four year high school diploma or its educational equivalent, plus at least one (1) year of satisfactory full-time software experience in a project leader capacity or as a major contributor on a complex project.  NOTE: In order to have your experience accepted as Project Leader or Major Contributor experience, you must explain in detail how your experience qualifies you as a project leader or as a major contributor. Experience in computer operations, technical support, quality assurance (QA), hardware installation, help desk, or as an end user will not be accepted for meeting the minimum qualification  requirements.  Special Note  To be eligible for placement in Assignment Level IV, in addition to the Qualification Requirements stated above, individuals must have one year of satisfactory experience in a project leader capacity or as a major contributor on a complex project in data administration, database management systems, operating systems, data communications systems, capacity planning, and/or on-line applications programming.","The New York City Department of Correction (DOC) is an integral part of the Cityâs evolving criminal justice system, participating in reform initiatives and strategies aimed at moving the city towards a smaller jail system without compromising public safety.  The DOC is responsible for maintaining a safe and secure environment for our employees, visitors, volunteers, and people in our custody.  Importantly, safe jails enable DOC to provide people in custody with the tools and opportunities they need to successfully re-enter their communities.  The DOC operates facilities and court commands across the five boroughs with more than 7,500 diverse professionals and knowledgeable experts.  The New York City Department of Correction Information Technology is seeking an experienced Application Support Specialist to provide expert user support, enhance software functionality, and leverage development skills in VB, Java, .NET, PowerApps and C# to improve that are homegrown/in-house (MS-ACCESS/VB) and vendor application systems (SaaS, in-house hosted apps).   The ideal candidate will have a strong background in user support, application programming, relational database reporting skills using BI tools and a solid understanding of Service Desk ticketing systems and DevOps principles. This role will involve troubleshooting a wide range of user support and application issues, optimizing current software features, and delivering technical solutions that align with business needs.  Note: All candidates must be permanent in the title of Computer Specialist (Software) in order to apply.  Preferred Skills:  â¢ Strong understanding of VB, Java, .NET, PowerApps and C# to improve in-house and    vendor application systems.  â¢ Excellent communication and interpersonal skills to engage diverse audiences. â¢ Demonstrated ability to build partnerships and drive cross-functional collaboration.",96086,120000,"(1) A baccalaureate degree from an accredited college, including or supplemented by twenty-four (24) semester credits in computer science or a related computer field and two (2) years of satisfactory full-time software experience in designing, programming, debugging, maintaining, implementing, and enhancing computer software applications, systems programming, systems analysis and design, data communication software, or database design and programming, including one year in a project leader capacity or as a major contributor on a complex project; or (2) A four-year high school diploma or its educational equivalent and six (6) years of full-time satisfactory software experience as described in 1 above, including one year in a project leader capacity or as a major contributor on a complex project; or (3) A satisfactory combination of education and experience that is equivalent to (1) or (2) above. College education may be substituted for up to two years of the required experience in (2) above on the basis that sixty (60) semester credits from an accredited college is equated to one year of experience. A masters degree in computer science or a related computer field may be substituted for one year of the required experience in (1) or (2) above. However, all candidates must have a four year high school diploma or its educational equivalent, plus at least one (1) year of satisfactory full-time software experience in a project leader capacity or as a major contributor on a complex project. NOTE: In order to have your experience accepted as Project Leader or Major Contributor experience, you must explain in detail how your experience qualifies you as a project leader or as a major contributor. Experience in computer operations, technical support, quality assurance (QA), hardware installation, help desk, or as an end user will not be accepted for meeting the minimum qualification requirements. Special Note To be eligible for placement in Assignment Level IV, in addition to the Qualification Requirements stated above, individuals must have one year of satisfactory experience in a project leader capacity or as a major contributor on a complex project in data administration, database management systems, operating systems, data communications systems, capacity planning, and/or on-line applications programming.","The New York City Department of Correction (DOC) is an integral part of the Citys evolving criminal justice system, participating in reform initiatives and strategies aimed at moving the city towards a smaller jail system without compromising public safety. The DOC is responsible for maintaining a safe and secure environment for our employees, visitors, volunteers, and people in our custody. Importantly, safe jails enable DOC to provide people in custody with the tools and opportunities they need to successfully re-enter their communities. The DOC operates facilities and court commands across the five boroughs with more than 7,500 diverse professionals and knowledgeable experts. The New York City Department of Correction Information Technology is seeking an experienced Application Support Specialist to provide expert user support, enhance software functionality, and leverage development skills in VB, Java, .NET, PowerApps and C# to improve that are homegrown/in-house (MS-ACCESS/VB) and vendor application systems (SaaS, in-house hosted apps). The ideal candidate will have a strong background in user support, application programming, relational database reporting skills using BI tools and a solid understanding of Service Desk ticketing systems and DevOps principles. This role will involve troubleshooting a wide range of user support and application issues, optimizing current software features, and delivering technical solutions that align with business needs. Note: All candidates must be permanent in the title of Computer Specialist (Software) in order to apply. Preferred Skills: Strong understanding of VB, Java, .NET, PowerApps and C# to improve in-house and vendor application systems. Excellent communication and interpersonal skills to engage diverse audiences. Demonstrated ability to build partnerships and drive cross-functional collaboration.","The New York City Department of Correction is seeking a Senior UI/UX Developer to enhance user-centered design and cross-platform app development. The role requires proficiency in HTML5, CSS3, JavaScript, and design tools such as Figma and Adobe XD. Core responsibilities include providing expert user support, optimizing software functionality, and delivering technical solutions that align with business needs. Minimum qualifications include a baccalaureate degree in computer science or a related field, along with two years of relevant software experience, including project leadership or significant contributions to complex projects."
709263,DEPARTMENT OF CORRECTION,Application Support Specialist,COMPUTER SPECIALIST (SOFTWARE),02,Experienced (non-manager),13632,"Technology, Data & Innovation",Information Systems-Admin,"(1) A baccalaureate degree from an accredited college, including or supplemented by twenty-four (24) semester credits in computer science or a related computer field and two (2) years of satisfactory full-time software experience in designing, programming, debugging, maintaining, implementing, and enhancing computer software applications, systems programming, systems analysis and design, data communication software, or database design and programming, including one year in a project leader capacity or as a major contributor on a complex project; or  (2) A four-year high school diploma or its educational equivalent and six (6) years of full-time satisfactory software experience as described in â1 above, including one year in a project leader capacity or as a major contributor on a complex project; or  (3) A satisfactory combination of education and experience that is equivalent to (1) or (2) above. College education may be substituted for up to two years of the required experience in (2) above on the basis that sixty (60) semester credits from an accredited college is equated to one year of experience. A masters degree in computer science or a related computer field may be substituted for one year of the required experience in (1) or (2) above. However, all candidates must have a four year high school diploma or its educational equivalent, plus at least one (1) year of satisfactory full-time software experience in a project leader capacity or as a major contributor on a complex project.  NOTE: In order to have your experience accepted as Project Leader or Major Contributor experience, you must explain in detail how your experience qualifies you as a project leader or as a major contributor. Experience in computer operations, technical support, quality assurance (QA), hardware installation, help desk, or as an end user will not be accepted for meeting the minimum qualification  requirements.  Special Note  To be eligible for placement in Assignment Level IV, in addition to the Qualification Requirements stated above, individuals must have one year of satisfactory experience in a project leader capacity or as a major contributor on a complex project in data administration, database management systems, operating systems, data communications systems, capacity planning, and/or on-line applications programming.","The New York City Department of Correction (DOC) is an integral part of the Cityâs evolving criminal justice system, participating in reform initiatives and strategies aimed at moving the city towards a smaller jail system without compromising public safety.  The DOC is responsible for maintaining a safe and secure environment for our employees, visitors, volunteers, and people in our custody.  Importantly, safe jails enable DOC to provide people in custody with the tools and opportunities they need to successfully re-enter their communities.  The DOC operates facilities and court commands across the five boroughs with more than 7,500 diverse professionals and knowledgeable experts.  The New York City Department of Correction Information Technology is seeking an experienced Application Support Specialist to provide expert user support, enhance software functionality, and leverage development skills in VB, Java, .NET, PowerApps and C# to improve that are homegrown/in-house (MS-ACCESS/VB) and vendor application systems (SaaS, in-house hosted apps).   The ideal candidate will have a strong background in user support, application programming, relational database reporting skills using BI tools and a solid understanding of Service Desk ticketing systems and DevOps principles. This role will involve troubleshooting a wide range of user support and application issues, optimizing current software features, and delivering technical solutions that align with business needs.  Note: All candidates must be permanent in the title of Computer Specialist (Software) in order to apply.  Preferred Skills:  â¢ Strong understanding of VB, Java, .NET, PowerApps and C# to improve in-house and    vendor application systems.  â¢ Excellent communication and interpersonal skills to engage diverse audiences. â¢ Demonstrated ability to build partnerships and drive cross-functional collaboration.",96086,120000,"(1) A baccalaureate degree from an accredited college, including or supplemented by twenty-four (24) semester credits in computer science or a related computer field and two (2) years of satisfactory full-time software experience in designing, programming, debugging, maintaining, implementing, and enhancing computer software applications, systems programming, systems analysis and design, data communication software, or database design and programming, including one year in a project leader capacity or as a major contributor on a complex project; or (2) A four-year high school diploma or its educational equivalent and six (6) years of full-time satisfactory software experience as described in 1 above, including one year in a project leader capacity or as a major contributor on a complex project; or (3) A satisfactory combination of education and experience that is equivalent to (1) or (2) above. College education may be substituted for up to two years of the required experience in (2) above on the basis that sixty (60) semester credits from an accredited college is equated to one year of experience. A masters degree in computer science or a related computer field may be substituted for one year of the required experience in (1) or (2) above. However, all candidates must have a four year high school diploma or its educational equivalent, plus at least one (1) year of satisfactory full-time software experience in a project leader capacity or as a major contributor on a complex project. NOTE: In order to have your experience accepted as Project Leader or Major Contributor experience, you must explain in detail how your experience qualifies you as a project leader or as a major contributor. Experience in computer operations, technical support, quality assurance (QA), hardware installation, help desk, or as an end user will not be accepted for meeting the minimum qualification requirements. Special Note To be eligible for placement in Assignment Level IV, in addition to the Qualification Requirements stated above, individuals must have one year of satisfactory experience in a project leader capacity or as a major contributor on a complex project in data administration, database management systems, operating systems, data communications systems, capacity planning, and/or on-line applications programming.","The New York City Department of Correction (DOC) is an integral part of the Citys evolving criminal justice system, participating in reform initiatives and strategies aimed at moving the city towards a smaller jail system without compromising public safety. The DOC is responsible for maintaining a safe and secure environment for our employees, visitors, volunteers, and people in our custody. Importantly, safe jails enable DOC to provide people in custody with the tools and opportunities they need to successfully re-enter their communities. The DOC operates facilities and court commands across the five boroughs with more than 7,500 diverse professionals and knowledgeable experts. The New York City Department of Correction Information Technology is seeking an experienced Application Support Specialist to provide expert user support, enhance software functionality, and leverage development skills in VB, Java, .NET, PowerApps and C# to improve that are homegrown/in-house (MS-ACCESS/VB) and vendor application systems (SaaS, in-house hosted apps). The ideal candidate will have a strong background in user support, application programming, relational database reporting skills using BI tools and a solid understanding of Service Desk ticketing systems and DevOps principles. This role will involve troubleshooting a wide range of user support and application issues, optimizing current software features, and delivering technical solutions that align with business needs. Note: All candidates must be permanent in the title of Computer Specialist (Software) in order to apply. Preferred Skills: Strong understanding of VB, Java, .NET, PowerApps and C# to improve in-house and vendor application systems. Excellent communication and interpersonal skills to engage diverse audiences. Demonstrated ability to build partnerships and drive cross-functional collaboration.","The New York City Department of Correction is seeking an Application Support Specialist to enhance software functionality and provide expert user support. The role requires proficiency in programming languages such as VB, Java, .NET, PowerApps, and C#, with a focus on improving both in-house and vendor application systems. Candidates must possess a baccalaureate degree in computer science or a related field, along with two years of relevant software experience, including project leadership or significant contributions to complex projects. Strong communication skills and the ability to collaborate across functions are essential for success in this position."
757422,FINANCIAL INFO SVCS AGENCY,OMB Entity Manager,SENIOR IT ARCHITECT,00,Experienced (non-manager),95711,"Technology, Data & Innovation",OPS/FS/Business Team,"1. A baccalaureate degree from an accredited college in computer science, information systems, engineering, mathematics or related field and six years of satisfactory full-time experience related to enterprise architecture, solutions architecture, network architecture and/or IT infrastructure systems; or  2. A baccalaureate degree from an accredited college and ten years of satisfactory full-time experience related to enterprise architecture, solutions architecture, network architecture and/or IT infrastructure systems; or  3. Education and/or experience which is equivalent to 1 or 2 above.","The Financial Information Services Agency (FISA) supports and maintains the financial and payroll systems of the City of New York. The OMB Entity Manager is the primary liaison between FISA and the Mayorâs Office of Management and Budget (OMB) which is responsible for creating the Mayorâs budget. Managing a team of Business Analysts, this individual will direct the servicing of all General Fund and Capital Fund budget components of the Cityâs Financial Management System (FMS).  This individual will also direct the servicing of the InterFund Agreement (IFA) system. An InterFund Agreement allows the General Fund to be reimbursed by the Capital Fund for time spent on a Capital Project by a City employee. The IFA system integrates with FMS to more fully automate and streamline the InterFund Agreement process.  The OMB Entity Manager ensures that user needs and software changes for the FMS and IFA systems are identified and addressed and plans the portfolio of FMS Budget and IFA software development related to OMB.  â¢	Analyze and document business requirements and non-functional requirements of proposed software solutions.  Typical solutions come in the form of new reports, enhancements to existing reports, data fixes, mass data changes (as a substitute for large scale data entry), new batch / modified batch processes, definition of new / modified online transactions and inquiries, etc. â¢	Author functional design documents that capture the details of the solution in all aspects (e.g., workflow requirements, business validations to be performed on data entry forms, formulas to be  applied in calculations on inquiries and reports, presentation layer requirements on inquiries and reports, definition of inputs / outputs and business logic of new / modified batch processes, configuration profile, application data configuration changes required to enact the business or processing change, etc.,).  The documentation produced will follow FISAâs standard for functional designs. â¢	Work with technical teams to research problems and implement solutions. â¢	Test, coordinate and schedule of software fixes/enhancements, data fixes and mass data changes.  â¢	Run simulations of business event processing and provide detailed status reporting on progress, detailed inventory of defects identified and in the scope of regression testing for the event. â¢	Perform and/or assign ad hoc data requests from OMB and track requests in a standardized manner â ensuring that there is visibility into the workload associated with ad-hoc tasks.   As manager the OMB Entity Team, the individual has the following responsibilities:  â¢	Serve as point of contact for all communications with OMB (including authoring of communications and review of draft communications from team members). â¢	Manage the FMS processing of the City of New Yorkâs budget including the annual processing of the Agency Request, Departmental Estimates, the Executive Budget and the Adopted Budget.      Also responsible for the accurate and timely delivery of all budget publications.  These business events and other events are generally executed during times when the system is offline for batch processing or maintenance.  The OMB Entity Manager is expected to be able to provide evening or weekend support for business event execution. â¢	Serve as a subject matter expert of the functionality of FMS Budget and IFA systems.  â¢	Responsible for the initial assessment and assignment of tasks for ad hoc requests and software fix and enhancement work. â¢	Interface with OMB business owners, as necessary, to gauge delivery performance of the OMB Entity team  â¢	Serve as an escalation point for personnel related matters.   â¢	Ensure that standard operating procedures are documented by the business teams in a consistent and manner. â¢	Manage the workload of the team by assigning tasks, prioritizing workload and monitoring status.  â¢	Provide ownership of OMB related software changes in the FMS and IFA systems including determining need in production dates, perform aspects of release planning, and ensure that resources are assigned to cover the scheduled analyst workload. â¢	Ensure that standard processes are used by the Business Analyst team for business event documentation, ad hoc reporting, requirements definition and functional designs.  Preferred Knowledge, Skills, and Abilities: â¢	Excellent oral and written communication skills and proven analytical and problem-solving skills.  â¢	Excellent customer service skills. â¢	Ability to work independently with minimal direction and under pressure with tight deadlines.  â¢	Hands-on proven experience balancing and reconciling financial data.  â¢	Demonstrated proficiency with MS Access; MS Excel; and other Microsoft tools such as Word, PowerPoint and Visio.  â¢	Ability speak in front of a user group and clearly describe how business functions are executed from within the FISA Financial System software and exception process / usage scenarios â¢	Ability to orchestrate an end user meeting with the goal of gathering requirements, gaining consensus between parties on business issues, taking and publishing meeting minutes, creating and presenting deliverables for review. â¢	Knowledge of some or all the following: FMS Budget or FMS Accounting and the IFA system.  Experience â¢	Extensive hands-on experience as an analyst working with accounting and budgeting software and business processes. â¢	Extensive experience working with analysis/reporting tools such as Oracle, SQL, Crystal Reports, MS Access, Excel.   â¢	Excellent communication (oral and written), interpersonal, and organizational skills are required.   â¢	Strong analytical and problem-solving skills (i.e. analysis, problem re-creation and very detailed oriented). â¢	Demonstrated ability to manage a team of analysts. â¢	Demonstrated ability performing project management activities  â¢	The candidate should have strong knowledge of the full application development and deployment life cycle processes.   â¢	Good work task organizational skills and detailed follow-through skills are required to monitor and report on the status of development and to resolve issues that are uncovered. â¢	Experience working in a large organization with complex procurement / purchasing processes.   â¢	Work experience should reflect proven ability in developing and delivering successful enterprise-wide applications and in coordinating such deployments.   â¢	Extensive experience with FMS/3 Accounting and FMS Budgeting and the IFA system  Additional Information  P-235  The City of New York offers a comprehensive set of benefits and programs to employees, including health insurance, pension plan, Deferred Compensation Plan (with 457, 401K and Roth IRA options), pre-tax Commuter Benefit program, pre-tax Flexible Spending Accounts programs and more.  Additional benefits such as prescription drug coverage, dental benefits, vision care benefits and more are also available through District Council 37 â Local 2627, the union that represents employees in this title   To Apply  Applicants may visit the Jobs NYC website: www.nyc.gov/jobs and apply to Job ID: 757422. While all complete applications will be given consideration, only candidates selected for an interview will be contacted.  Hours/Shift  35 hours Weekly/Day.  Work Location  5 Manhattan West, NY, NY",1e+05,165000,"1. A baccalaureate degree from an accredited college in computer science, information systems, engineering, mathematics or related field and six years of satisfactory full-time experience related to enterprise architecture, solutions architecture, network architecture and/or IT infrastructure systems; or 2. A baccalaureate degree from an accredited college and ten years of satisfactory full-time experience related to enterprise architecture, solutions architecture, network architecture and/or IT infrastructure systems; or 3. Education and/or experience which is equivalent to 1 or 2 above.","The Financial Information Services Agency (FISA) supports and maintains the financial and payroll systems of the City of New York. The OMB Entity Manager is the primary liaison between FISA and the Mayors Office of Management and Budget (OMB) which is responsible for creating the Mayors budget. Managing a team of Business Analysts, this individual will direct the servicing of all General Fund and Capital Fund budget components of the Citys Financial Management System (FMS). This individual will also direct the servicing of the InterFund Agreement (IFA) system. An InterFund Agreement allows the General Fund to be reimbursed by the Capital Fund for time spent on a Capital Project by a City employee. The IFA system integrates with FMS to more fully automate and streamline the InterFund Agreement process. The OMB Entity Manager ensures that user needs and software changes for the FMS and IFA systems are identified and addressed and plans the portfolio of FMS Budget and IFA software development related to OMB. Analyze and document business requirements and non-functional requirements of proposed software solutions. Typical solutions come in the form of new reports, enhancements to existing reports, data fixes, mass data changes (as a substitute for large scale data entry), new batch / modified batch processes, definition of new / modified online transactions and inquiries, etc. Author functional design documents that capture the details of the solution in all aspects (e.g., workflow requirements, business validations to be performed on data entry forms, formulas to be applied in calculations on inquiries and reports, presentation layer requirements on inquiries and reports, definition of inputs / outputs and business logic of new / modified batch processes, configuration profile, application data configuration changes required to enact the business or processing change, etc.,). The documentation produced will follow FISAs standard for functional designs. Work with technical teams to research problems and implement solutions. Test, coordinate and schedule of software fixes/enhancements, data fixes and mass data changes. Run simulations of business event processing and provide detailed status reporting on progress, detailed inventory of defects identified and in the scope of regression testing for the event. Perform and/or assign ad hoc data requests from OMB and track requests in a standardized manner ensuring that there is visibility into the workload associated with ad-hoc tasks. As manager the OMB Entity Team, the individual has the following responsibilities: Serve as point of contact for all communications with OMB (including authoring of communications and review of draft communications from team members). Manage the FMS processing of the City of New Yorks budget including the annual processing of the Agency Request, Departmental Estimates, the Executive Budget and the Adopted Budget. Also responsible for the accurate and timely delivery of all budget publications. These business events and other events are generally executed during times when the system is offline for batch processing or maintenance. The OMB Entity Manager is expected to be able to provide evening or weekend support for business event execution. Serve as a subject matter expert of the functionality of FMS Budget and IFA systems. Responsible for the initial assessment and assignment of tasks for ad hoc requests and software fix and enhancement work. Interface with OMB business owners, as necessary, to gauge delivery performance of the OMB Entity team Serve as an escalation point for personnel related matters. Ensure that standard operating procedures are documented by the business teams in a consistent and manner. Manage the workload of the team by assigning tasks, prioritizing workload and monitoring status. Provide ownership of OMB related software changes in the FMS and IFA systems including determining need in production dates, perform aspects of release planning, and ensure that resources are assigned to cover the scheduled analyst workload. Ensure that standard processes are used by the Business Analyst team for business event documentation, ad hoc reporting, requirements definition and functional designs. Preferred Knowledge, Skills, and Abilities: Excellent oral and written communication skills and proven analytical and problem-solving skills. Excellent customer service skills. Ability to work independently with minimal direction and under pressure with tight deadlines. Hands-on proven experience balancing and reconciling financial data. Demonstrated proficiency with MS Access; MS Excel; and other Microsoft tools such as Word, PowerPoint and Visio. Ability speak in front of a user group and clearly describe how business functions are executed from within the FISA Financial System software and exception process / usage scenarios Ability to orchestrate an end user meeting with the goal of gathering requirements, gaining consensus between parties on business issues, taking and publishing meeting minutes, creating and presenting deliverables for review. Knowledge of some or all the following: FMS Budget or FMS Accounting and the IFA system. Experience Extensive hands-on experience as an analyst working with accounting and budgeting software and business processes. Extensive experience working with analysis/reporting tools such as Oracle, SQL, Crystal Reports, MS Access, Excel. Excellent communication (oral and written), interpersonal, and organizational skills are required. Strong analytical and problem-solving skills (i.e. analysis, problem re-creation and very detailed oriented). Demonstrated ability to manage a team of analysts. Demonstrated ability performing project management activities The candidate should have strong knowledge of the full application development and deployment life cycle processes. Good work task organizational skills and detailed follow-through skills are required to monitor and report on the status of development and to resolve issues that are uncovered. Experience working in a large organization with complex procurement / purchasing processes. Work experience should reflect proven ability in developing and delivering successful enterprise-wide applications and in coordinating such deployments. Extensive experience with FMS/3 Accounting and FMS Budgeting and the IFA system Additional Information P-235 The City of New York offers a comprehensive set of benefits and programs to employees, including health insurance, pension plan, Deferred Compensation Plan (with 457, 401K and Roth IRA options), pre-tax Commuter Benefit program, pre-tax Flexible Spending Accounts programs and more. Additional benefits such as prescription drug coverage, dental benefits, vision care benefits and more are also available through District Council 37 Local 2627, the union that represents employees in this title","The OMB Entity Manager is responsible for managing a team of Business Analysts and serving as the primary liaison between the Financial Information Services Agency (FISA) and the Mayor's Office of Management and Budget (OMB). Key responsibilities include directing the servicing of the General Fund and Capital Fund budget components, analyzing and documenting business requirements for software solutions, and ensuring user needs are met for the Financial Management System (FMS) and InterFund Agreement (IFA) systems. The role requires strong communication skills, the ability to manage a team, and experience with financial data analysis and reporting tools. Minimum qualifications include a bachelor's degree in a related field and significant experience in enterprise architecture or IT infrastructure systems."
